id,full_name,parent_id,rank,rank_name,taxref,niamoto
9493,Cordia aspera,9926,SPECIES,aspera,2623,
9494,Cordia subcordata,9926,SPECIES,subcordata,2625,
9495,Crossosperma cauliflora,9927,SPECIES,cauliflora,2678,
9496,Crossosperma velutina,9927,SPECIES,velutina,2679,
9497,Croton insularis,9928,SPECIES,insularis,2692,
9498,Cyclophyllum merrillianum,9929,SPECIES,merrillianum,2812,
9499,Cynometra iripa,9930,SPECIES,iripa,2827,
9500,Cynometra ramiflora,9930,SPECIES,ramiflora,2828,
9501,Dacrycarpus vieillardii,9931,SPECIES,vieillardii,2851,
9502,Deltaria brachyblastophora,9932,SPECIES,brachyblastophora,2886,
9503,Dolichandrone spathacea,9933,SPECIES,spathacea,3066,
9504,Dubouzetia confusa,9934,SPECIES,confusa,3090,
9505,Dubouzetia elegans,9934,SPECIES,elegans,3091,
9506,Dutailliopsis gordonii,9935,SPECIES,gordonii,3095,
9507,Erythrina fusca,9936,SPECIES,fusca,3228,
9508,Erythrina variegata,9936,SPECIES,variegata,3230,
9509,Homalium francii,755,SPECIES,francii,3712,
9510,Homalium decurrens,755,SPECIES,decurrens,3710,
9511,Homalium leratiorum,755,SPECIES,leratiorum,3719,
9512,Homalium rubiginosum,755,SPECIES,rubiginosum,3723,
9513,Homalium serratum,755,SPECIES,serratum,3725,
9514,Homalium sleumerianum,755,SPECIES,sleumerianum,3726,
9515,Lasiochlamys fasciculata,756,SPECIES,fasciculata,3937,
9516,Xylosma lifuanum,757,SPECIES,lifuanum,6271,
9517,Coronanthera sericea,761,SPECIES,sericea,2641,
9518,Coronanthera squamata,761,SPECIES,squamata,2642,
9519,Excoecaria agallocha,9937,SPECIES,agallocha,3323,
9520,Exocarpos phyllanthoides,9938,SPECIES,phyllanthoides,3326,
9521,Exocarpos pseudocasuarina,9938,SPECIES,pseudocasuarina,3330,
9522,Exocarpos spathulatus,9938,SPECIES,spathulatus,3331,
9523,Fontainea pancheri,9939,SPECIES,pancheri,3401,
9524,Garuga floribunda,9940,SPECIES,floribunda,3455,
9525,Grewia crenata,9941,SPECIES,crenata,3564,
9526,Guettarda balansaeana,9908,SPECIES,balansaeana,3567,
9527,Guettarda speciosa,9908,SPECIES,speciosa,3579,
9528,Gyrocarpus americanus,9942,SPECIES,americanus,3612,
9529,Depanthus pubescens,851,SPECIES,pubescens,2936,
9530,Heliotropium foertherianum,9943,SPECIES,foertherianum,13233,
9531,Heritiera littoralis,9944,SPECIES,littoralis,3658,
9532,Eucarpha strobilina,9945,SPECIES,strobilina,3909,
9533,Libocedrus austrocaledonica,9946,SPECIES,austrocaledonica,4006,
9534,Libocedrus yateensis,9946,SPECIES,yateensis,4008,
9535,Lumnitzera littorea,9905,SPECIES,littorea,4085,
9536,Lumnitzera racemosa,9905,SPECIES,racemosa,4086,
9537,Manilkara dissecta,9948,SPECIES,dissecta,4142,
9538,Medicosma leratii,9949,SPECIES,leratii,4189,
9539,Micromelum minutum,9950,SPECIES,minutum,4303,
9540,Mimusops elengi,9951,SPECIES,elengi,4321,
9542,Ormocarpum orientale,9953,SPECIES,orientale,4526,
9543,Pavetta opulina,9954,SPECIES,opulina,4710,
9544,Euroschinus jaffrei,1180,SPECIES,jaffrei,3310,
9545,Semecarpus balansae,1182,SPECIES,balansae,5600,
9546,Semecarpus poyaensis,1182,SPECIES,poyaensis,5602,
9547,Premna serratifolia,9955,SPECIES,serratifolia,5184,
9548,Apiopetalum glabratum,1263,SPECIES,glabratum,1842,
9549,Psydrax odorata,9956,SPECIES,odorata,5303,
955,Podonephelium gongrocarpum,3290,SPECIES,gongrocarpum,14897,
9550,Dallachya vitiensis,9957,SPECIES,vitiensis,15880,
9551,Rhizophora x selala,9958,SPECIES,x selala,5405,
9552,Rhizophora apiculata,9958,SPECIES,apiculata,5400,
9553,Rhizophora samoensis,9958,SPECIES,samoensis,5404,
9554,Rhizophora stylosa,9958,SPECIES,stylosa,5406,
9555,Albizia guillainii,1303,SPECIES,guillainii,1716,
9556,Archidendropsis lentiscifolia,1304,SPECIES,lentiscifolia,1876,
9558,Serianthes calycina,1308,SPECIES,calycina,5617,
9559,Serianthes margaretae,1308,SPECIES,margaretae,5622,
9560,Serianthes petitiana,1308,SPECIES,petitiana,5623,
9561,Alstonia boulindaensis,1384,SPECIES,boulindaensis,1748,
9562,Sonneratia alba,9959,SPECIES,alba,5717,
9563,Sonneratia caseolaris,9959,SPECIES,caseolaris,5718,
9564,Cerberiopsis neriifolia,1398,SPECIES,neriifolia,2449,
9565,Cerberiopsis obtusifolia,1398,SPECIES,obtusifolia,2450,
9566,Streblus pendulinus,9960,SPECIES,pendulinus,5812,
9567,Neisosperma lifuana,1428,SPECIES,lifuana,4416,
9568,Neisosperma thiollierei,1428,SPECIES,thiollierei,4420,
9569,Ochrosia elliptica,1429,SPECIES,elliptica,4482,
9570,Ochrosia inventorum,1429,SPECIES,inventorum,4484,
9571,Ochrosia oppositifolia,1429,SPECIES,oppositifolia,13756,
9572,Terminalia cherrieri,9961,SPECIES,cherrieri,6015,
9573,Terminalia gatopensis,9961,SPECIES,gatopensis,6016,
9574,Terminalia novocaledonica,9961,SPECIES,novocaledonica,6019,
9575,Terminalia rubricarpa,9961,SPECIES,rubricarpa,6020,
9576,Meryta denhamii,1467,SPECIES,denhamii,4270,
9577,Plerandra elegantissima,1469,SPECIES,elegantissima,15269,
9579,Plerandra polydactylis,1469,SPECIES,polydactylis,15272,
9580,Polyscias crenata,1483,SPECIES,crenata,13203,
9581,Polyscias microbotrys,1483,SPECIES,microbotrys,13205,
9582,Xylocarpus granatum,9962,SPECIES,granatum,6255,
9583,Xylocarpus rumphii,9962,SPECIES,rumphii,6256,
9584,Balanops balansae,1652,SPECIES,balansae,2068,
9585,Deplanchea sessilifolia,1690,SPECIES,sessilifolia,2937,
9586,Canarium balansae,1717,SPECIES,balansae,2334,
9587,Mammea odorata,1731,SPECIES,odorata,4138,
9588,Hernandia nymphaeifolia,1802,SPECIES,nymphaeifolia,3660,
9589,Oxera coriacea,1848,SPECIES,coriacea,4567,
9590,Cryptocarya leptospermoides,1868,SPECIES,leptospermoides,2700,
9591,Cryptocarya schmidii,1868,SPECIES,schmidii,2710,
9592,Endiandra lecardii,1872,SPECIES,lecardii,3180,
9593,Litsea deplanchei,1875,SPECIES,deplanchei,4052,
9595,Barringtonia integrifolia,1880,SPECIES,integrifolia,2092,
9596,Barringtonia racemosa,1880,SPECIES,racemosa,2095,
9597,Ficus asperula,1966,SPECIES,asperula,3337,
9598,Ficus lifouensis,1966,SPECIES,lifouensis,3354,
9599,Ficus hillii,1966,SPECIES,hillii,15891,
9600,Ficus otophoroides,1966,SPECIES,otophoroides,3367,
9601,Ficus pteroporum,1966,SPECIES,pteroporum,3370,
9602,Ficus scabra,1966,SPECIES,scabra,3374,
9604,Eugenia calycorectioides,1984,SPECIES,calycorectioides,3249,
9606,Gossia aphthosa,1985,SPECIES,aphthosa,13068,
9607,Gossia colnettiana,1985,SPECIES,colnettiana,13176,
9608,Kanakomyrtus mcphersonii,1986,SPECIES,mcphersonii,13104,
9609,Kanakomyrtus revoluta,1986,SPECIES,revoluta,13100,
9610,Melaleuca brevisepala,1987,SPECIES,brevisepala,4209,
9611,Melaleuca buseana,1987,SPECIES,buseana,4211,
9613,Melaleuca sphaerodendra,1987,SPECIES,sphaerodendra,4216,
9614,Metrosideros cacuminum,1988,SPECIES,cacuminum,4280,
9615,Metrosideros dolichandra,1988,SPECIES,dolichandra,4282,
9616,Metrosideros elegans,1988,SPECIES,elegans,15784,
9617,Metrosideros engleriana,1988,SPECIES,engleriana,4283,
9619,Metrosideros porphyrea,1988,SPECIES,porphyrea,4294,
9621,Piliocalyx baudouinii,1991,SPECIES,baudouinii,5000,
9622,Piliocalyx micranthus,1991,SPECIES,micranthus,5005,
9623,Syzygium aggregatum,1998,SPECIES,aggregatum,5858,
9624,Syzygium brevioperculatum,1998,SPECIES,brevioperculatum,5869,
9625,Syzygium brevipes,1998,SPECIES,brevipes,5870,
9626,Syzygium jaffrei,1998,SPECIES,jaffrei,5882,
9627,Syzygium koniamboense,1998,SPECIES,koniamboense,5884,
9628,Syzygium koumacense,1998,SPECIES,koumacense,5885,
9629,Syzygium lateriflorum,1998,SPECIES,lateriflorum,5888,
9630,Syzygium micans,1998,SPECIES,micans,5895,
9631,Syzygium pennelii,1998,SPECIES,pennelii,5906,
9632,Syzygium propinquum,1998,SPECIES,propinquum,5908,
9633,Syzygium pseudopinnatum,1998,SPECIES,pseudopinnatum,5909,
9634,Syzygium pterocalyx,1998,SPECIES,pterocalyx,5910,
9635,Syzygium sarmentosum,1998,SPECIES,sarmentosum,5917,
9636,Syzygium tchambaense,1998,SPECIES,tchambaense,5920,
9637,Syzygium tontoutaense,1998,SPECIES,tontoutaense,5923,
9638,Tristaniopsis glauca,1999,SPECIES,glauca,6114,
9639,Tristaniopsis lucida,1999,SPECIES,lucida,6119,
9640,Tristaniopsis polyandra,1999,SPECIES,polyandra,6123,
9641,Tristaniopsis vieillardii,1999,SPECIES,vieillardii,6125,
9642,Tristaniopsis yateensis,1999,SPECIES,yateensis,6126,
9643,Uromyrtus artensis,2000,SPECIES,artensis,6144,
9644,Xanthostemon grisei,2003,SPECIES,grisei,6238,
9645,Xanthostemon multiflorus,2003,SPECIES,multiflorus,6245,
9646,Xanthostemon pubescens,2003,SPECIES,pubescens,6247,
9647,Xanthostemon vieillardii,2003,SPECIES,vieillardii,6252,
9648,Nothofagus baumanniae,2005,SPECIES,baumanniae,4464,
9649,Nothofagus discoidea,2005,SPECIES,discoidea,4466,
9650,Osmanthus cymosus,2015,SPECIES,cymosus,4537,
9651,Osmanthus monticola,2015,SPECIES,monticola,4538,
9652,Bocquillonia arborea,2045,SPECIES,arborea,2194,
9653,Pandanus aragoensis,2150,SPECIES,aragoensis,4632,
9654,Pandanus decastigma,2150,SPECIES,decastigma,4636,
9655,Pandanus macrocarpus,2150,SPECIES,macrocarpus,4640,
9656,Pandanus serpentinicus,2150,SPECIES,serpentinicus,4646,
9657,Pandanus sphaerocephalus,2150,SPECIES,sphaerocephalus,4647,
9658,Pandanus tectorius,2150,SPECIES,tectorius,4648,
9659,Pandanus viscidus,2150,SPECIES,viscidus,4654,
9660,Sphenostemon oppositifolius,2156,SPECIES,oppositifolius,5757,
9661,Sphenostemon tireliae,2156,SPECIES,tireliae,5760,
9662,Phelline wagapensis,2159,SPECIES,wagapensis,4770,
9663,Phyllanthus calcicola,2225,SPECIES,calcicola,4814,
9664,Austrobuxus clusiaceus,2235,SPECIES,clusiaceus,2010,
9665,Pittosporum echinatum,2291,SPECIES,echinatum,5040,
9666,Pittosporum kaalense,2291,SPECIES,kaalense,5045,
9667,Pittosporum mackeei,2291,SPECIES,mackeei,5052,
9668,Pittosporum malaxanii,2291,SPECIES,malaxanii,5053,
